                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1801,                 1.2225,                   1.26,                0.52258,                0.46963,                0.51503,                0.35539,                 1.3268,                 1.6869,                 1.5596,             0.00026654,             0.00026654,             0.00026654
                     35,                 1.1591,                 1.1945,                 1.2582,                0.42145,                0.54528,                0.47369,                0.32697,                 1.2857,                 1.8006,                 1.4647,             0.00025131,             0.00025131,             0.00025131
                     36,                 1.2027,                 1.2027,                 1.2711,                0.54222,                0.47949,                0.47843,                0.32297,                 1.3751,                 1.7355,                 1.5724,             0.00023608,             0.00023608,             0.00023608
                     37,                 1.1531,                 1.1939,                 1.2578,                0.55448,                0.47086,                0.50759,                0.34752,                  1.383,                 1.7139,                  1.557,             0.00022086,             0.00022086,             0.00022086
                     38,                 1.1458,                 1.1387,                 1.2416,                0.38914,                0.53726,                0.44239,                0.29646,                 1.3897,                 1.8644,                 1.6053,             0.00020563,             0.00020563,             0.00020563
                     39,                 1.1566,                 1.1538,                 1.2459,                0.53545,                0.46631,                0.47736,                0.32653,                 1.4096,                 1.7366,                 1.6342,              0.0001904,              0.0001904,              0.0001904
                     40,                  1.153,                 1.1067,                 1.2383,                0.57509,                0.49421,                0.53064,                0.35792,                 1.3726,                 1.6334,                 1.6133,             0.00017518,             0.00017518,             0.00017518
                     41,                 1.1309,                 1.2102,                 1.2303,                0.45228,                0.50653,                0.46597,                0.31922,                 1.3699,                 1.8929,                 1.6205,             0.00015995,             0.00015995,             0.00015995
                     42,                 1.1043,                 1.0842,                  1.215,                0.56427,                 0.4447,                0.45982,                 0.3165,                 1.3169,                 1.8181,                 1.5823,             0.00014473,             0.00014473,             0.00014473
                     43,                 1.0822,                 1.0306,                 1.2075,                0.54478,                0.48077,                0.50307,                0.35003,                 1.3024,                 1.7471,                  1.549,              0.0001295,              0.0001295,              0.0001295
                     44,                 1.0513,                0.98025,                 1.1878,                0.50849,                0.46543,                0.48935,                0.33622,                 1.3139,                 1.7242,                 1.5687,             0.00011427,             0.00011427,             0.00011427
                     45,                 1.0715,                 1.0034,                 1.2029,                0.61485,                0.44019,                0.48427,                0.33753,                 1.3202,                 1.7412,                 1.5675,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                 1.0574,                 0.9449,                 1.1818,                 0.5038,                0.46765,                0.47664,                0.32491,                 1.3078,                   1.74,                 1.5591,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                 1.0438,                0.95833,                 1.1698,                0.54581,                0.50085,                0.50677,                 0.3471,                 1.3265,                 1.6694,                 1.5911,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                   1.03,                0.92159,                 1.1727,                0.57228,                0.47722,                0.50683,                0.34589,                 1.3311,                 1.6954,                 1.5914,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                  1.031,                0.91773,                 1.1787,                0.51447,                0.50066,                0.50544,                0.34751,                 1.3206,                 1.7449,                 1.5757,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                  1.015,                0.89531,                 1.1692,                0.51735,                0.48508,                0.50832,                0.34171,                 1.3243,                 1.7478,                 1.5714,             2.2916e-05,             2.2916e-05,             2.2916e-05
